flex1,flex2,flex3,flex4,flex5,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,label
0.0,0.0,47.0,2502.0,33.0,10364.0,-4604.0,13248.0,-845.0,-577.0,136.0,hi
0.0,0.0,51.0,2492.0,28.0,11072.0,-1616.0,12056.0,2154.0,-2542.0,-6299.0,hi
10.0,0.0,48.0,2503.0,36.0,11716.0,3996.0,11024.0,18.0,-1598.0,-6053.0,hi
48.0,6.0,42.0,2512.0,45.0,11612.0,7932.0,9700.0,-149.0,-1096.0,-1434.0,hi
43.0,0.0,43.0,2512.0,48.0,11964.0,6040.0,9656.0,-3611.0,1610.0,4965.0,hi
0.0,1.0,34.0,2519.0,29.0,10952.0,760.0,12604.0,-3772.0,1999.0,5550.0,hi
0.0,0.0,44.0,2499.0,26.0,9976.0,-2872.0,13420.0,-2343.0,869.0,3469.0,hi
0.0,0.0,46.0,2513.0,33.0,10008.0,-3736.0,13732.0,548.0,-1312.0,-2624.0,hi
0.0,0.0,51.0,2507.0,64.0,10768.0,620.0,12496.0,1897.0,-2410.0,-6553.0,hi
45.0,0.0,43.0,2501.0,61.0,11192.0,4680.0,11184.0,332.0,-1280.0,-4248.0,hi
43.0,2.0,41.0,2523.0,38.0,11280.0,6596.0,11000.0,-439.0,-50.0,1946.0,hi
0.0,0.0,26.0,2512.0,48.0,11596.0,3664.0,10920.0,-1638.0,459.0,5694.0,hi
0.0,16.0,23.0,2497.0,21.0,11104.0,-924.0,12580.0,-2227.0,1433.0,3544.0,hi
0.0,0.0,14.0,2507.0,40.0,10936.0,-1076.0,12964.0,-698.0,-277.0,-486.0,hi
0.0,0.0,0.0,2501.0,48.0,11080.0,92.0,12264.0,575.0,-844.0,-4452.0,hi
5.0,0.0,17.0,2516.0,51.0,11008.0,2812.0,12192.0,163.0,-484.0,-4583.0,hi
10.0,0.0,14.0,2493.0,47.0,10640.0,6660.0,11752.0,664.0,-730.0,-759.0,hi
